Number,Player,ID_Position,School_Label,ID_Conference,ID_Race,ID_Class,Height,Height.Inches,Weight,ID_Eligibility,Formal_Stated_Major,Unknown_Undisclosed_Major,ID_Major_Type,CIPFamily,CIPFamilyTitle,CIPCode,CIPTitle,CIPDefinition,Hometown,City,ID_State.Provence.Country,Latitude,Longitude,High_School,Season,PlayerBio_URL
9,Louis Nix III,NT,Notre Dame,IND,AA,JR,"6'3""",75,326,,"Film, Television & Theatre",FALSE,A,50,VISUAL AND PERFORMING ARTS.,50.0501,"Drama and Dramatics/Theatre Arts, General.","A program that focuses on the general study of dramatic works and their performance.  Includes instruction in major works of dramatic literature, dramatic styles and types, and the principles of organizing and producing full live or filmed productions.","Jacksonville, FL",Jacksonville,FL,30.3321838,-81.655651,Raines High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/nixiii_louis00.html
41,Matthias Farley,S,Notre Dame,IND,AA,SO,"5'11""",71,200,,"Film, Television & Theatre",FALSE,A,50,VISUAL AND PERFORMING ARTS.,50.0501,"Drama and Dramatics/Theatre Arts, General.","A program that focuses on the general study of dramatic works and their performance.  Includes instruction in major works of dramatic literature, dramatic styles and types, and the principles of organizing and producing full live or filmed productions.","Charlotte, NC",Charlotte,NC,35.2270869,-80.8431267,Christian High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/farley_matthias00.html
57,Mike Golic Jr.,OG,Notre Dame,IND,C,GR,"6'3""",75,300,,"Film, Television & Theatre",FALSE,A,50,VISUAL AND PERFORMING ARTS.,50.0501,"Drama and Dramatics/Theatre Arts, General.","A program that focuses on the general study of dramatic works and their performance.  Includes instruction in major works of dramatic literature, dramatic styles and types, and the principles of organizing and producing full live or filmed productions.","West Hartford, CT",West Hartford,CT,41.7620842,-72.7420151,Northwest Catholic High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/golicjr_mike00.html
9,Robby Toma,WR,Notre Dame,IND,C,SR,"5'9""",69,185,,"Film, Television & Theatre",FALSE,A,50,VISUAL AND PERFORMING ARTS.,50.0501,"Drama and Dramatics/Theatre Arts, General.","A program that focuses on the general study of dramatic works and their performance.  Includes instruction in major works of dramatic literature, dramatic styles and types, and the principles of organizing and producing full live or filmed productions.","Laie, HI",Laie,HI,21.6486111,-157.9255556,Punahou School,2012-2013,http://www.und.com/sports/m-footbl/mtt/toma_robby00.html
6,Theo Riddick,RB,Notre Dame,IND,AA,SR,"5'11""",71,200,,"Film, Television & Theatre",FALSE,A,50,VISUAL AND PERFORMING ARTS.,50.0501,"Drama and Dramatics/Theatre Arts, General.","A program that focuses on the general study of dramatic works and their performance.  Includes instruction in major works of dramatic literature, dramatic styles and types, and the principles of organizing and producing full live or filmed productions.","Manville, NJ",Manville,NJ,40.5409367,-74.5876569,Immaculata High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/riddick_theo00.html
7,TJ Jones,WR,Notre Dame,IND,AA,JR,"5'11""",71,190,,"Film, Television & Theatre",FALSE,A,50,VISUAL AND PERFORMING ARTS.,50.0501,"Drama and Dramatics/Theatre Arts, General.","A program that focuses on the general study of dramatic works and their performance.  Includes instruction in major works of dramatic literature, dramatic styles and types, and the principles of organizing and producing full live or filmed productions.","Roswell, GA",Roswell,GA,34.0231553,-84.3615928,Gainesville High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/jones_tj00.html
28,Austin Collinsworth,S,Notre Dame,IND,C,JR,"6'1""",73,202,,Finance,FALSE,A,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52.0801,"Finance, General.","A program that generally prepares individuals to plan, manage, and analyze the financial and monetary aspects and performance of business enterprises, banking institutions, or other organizations.  Includes instruction in principles of accounting, financial instruments, capital planning, funds acquisition, asset and debt management, budgeting, financial analysis, and investments and portfolio management.","Fort Thomas, KY",Fort Thomas,KY,39.0750607,-84.4471633,Highlands High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/collinsworth_austin00.html
35,Ben Turk,P,Notre Dame,IND,C,SR,"5'11""",71,186,,Finance,FALSE,A,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52.0801,"Finance, General.","A program that generally prepares individuals to plan, manage, and analyze the financial and monetary aspects and performance of business enterprises, banking institutions, or other organizations.  Includes instruction in principles of accounting, financial instruments, capital planning, funds acquisition, asset and debt management, budgeting, financial analysis, and investments and portfolio management.","Davie, FL",Davie,FL,26.0628664,-80.2331038,St. Thomas Aquinas,2012-2013,http://www.und.com/sports/m-footbl/mtt/turk_ben00.html
15,Dan McCarthy,S,Notre Dame,IND,C,GR,"6'2""",74,205,,Finance,FALSE,A,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52.0801,"Finance, General.","A program that generally prepares individuals to plan, manage, and analyze the financial and monetary aspects and performance of business enterprises, banking institutions, or other organizations.  Includes instruction in principles of accounting, financial instruments, capital planning, funds acquisition, asset and debt management, budgeting, financial analysis, and investments and portfolio management.","Youngstown, OH",Youngstown,OH,41.0997803,-80.6495194,Cardinal Mooney High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/mccarthy_dan00.html
26,Jamoris Slaughter,S,Notre Dame,IND,AA,GR,"6'1""",73,200,,Industrial Design,FALSE,A,50,VISUAL AND PERFORMING ARTS.,50.0401,"Design and Visual Communications, General.","A program in the applied visual arts that focuses on the general principles and techniques for effectively communicating ideas and information, and packaging products, in digital and other formats to business and consumer audiences, and that may prepare individuals in any of the applied art media.","Stone Mountain, GA",Stone Mountain,GA,33.8081608,-84.170196,Tucker High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/slaughter_jamoris00.html
17,Zeke Motta,S,Notre Dame,IND,C,SR,"6'2""",74,215,,Industrial Design,FALSE,A,50,VISUAL AND PERFORMING ARTS.,50.0401,"Design and Visual Communications, General.","A program in the applied visual arts that focuses on the general principles and techniques for effectively communicating ideas and information, and packaging products, in digital and other formats to business and consumer audiences, and that may prepare individuals in any of the applied art media.","Vero Beach, FL",Vero Beach,FL,27.6386434,-80.3972736,Vero Beach High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/motta_zeke01.html
82,Alex Welch,TE,Notre Dame,IND,C,JR,"6'4""",76,250,,Management Consulting,FALSE,A,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52.0201,"Business Administration and Management, General.","A program that generally prepares individuals to plan, organize, direct, and control the functions and processes of a firm or organization.  Includes instruction in management theory, human resources management and behavior, accounting and other quantitative methods, purchasing and logistics, organization and production, marketing, and business decision-making.","Cincinnati, OH",Cincinnati,OH,39.1031182,-84.5120196,Elder High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/welch_alex00.html
